Space Data
QuorumThresh = 4
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 46, 154, 0, 0, 0, 0, 0, 0
4, 46, 154, 0, 0, 0, 0, 0, 0
5, 46, 154, 0, 0, 0, 0, 0, 0
6, 46, 154, 0, 0, 0, 0, 0, 0
7, 46, 154, 0, 0, 0, 0, 0, 0
8, 46, 154, 0, 0, 0, 0, 0, 0
9, 46, 154, 0, 0, 0, 0, 0, 0
10, 46, 154, 0, 0, 0, 0, 0, 0
11, 46, 154, 0, 0, 0, 0, 0, 0
12, 46, 154, 0, 0, 0, 0, 0, 0
13, 46, 154, 0, 0, 0, 0, 0, 0
14, 46, 154, 0, 0, 0, 0, 0, 0
15, 46, 154, 0, 0, 0, 0, 0, 0
16, 46, 154, 0, 0, 0, 0, 0, 0
17, 46, 154, 0, 0, 0, 0, 0, 0
18, 46, 154, 0, 0, 0, 0, 0, 0
19, 46, 154, 0, 0, 0, 0, 0, 0
20, 46, 154, 0, 0, 0, 0, 0, 0
21, 46, 154, 0, 0, 0, 0, 0, 0
22, 46, 154, 0, 0, 0, 0, 0, 0
23, 46, 154, 0, 0, 0, 0, 0, 0
24, 46, 154, 0, 0, 0, 0, 0, 0
25, 46, 154, 0, 0, 0, 0, 0, 0
26, 46, 154, 0, 0, 0, 0, 0, 0
27, 46, 154, 0, 0, 0, 0, 0, 0
28, 46, 154, 0, 0, 0, 0, 0, 0
29, 46, 154, 0, 0, 0, 0, 0, 0
30, 46, 154, 0, 0, 0, 0, 0, 0
31, 45, 154, 0, 0, 1, 0, 0, 0
32, 45, 154, 0, 0, 1, 0, 0, 0
33, 45, 154, 0, 0, 1, 0, 0, 0
34, 45, 154, 0, 0, 1, 0, 0, 0
35, 45, 154, 0, 0, 1, 0, 0, 0
36, 45, 154, 0, 0, 1, 0, 0, 0
37, 45, 154, 0, 0, 1, 0, 0, 0
38, 45, 154, 0, 0, 1, 0, 0, 0
39, 43, 154, 0, 0, 2, 1, 0, 0
40, 42, 154, 0, 0, 3, 1, 0, 0
41, 42, 154, 0, 0, 3, 1, 0, 0
42, 42, 154, 0, 0, 3, 1, 0, 0
43, 42, 154, 0, 0, 3, 1, 0, 0
44, 42, 154, 0, 0, 3, 1, 0, 0
45, 42, 154, 0, 0, 3, 1, 0, 0
46, 41, 154, 0, 0, 4, 1, 0, 0
47, 41, 154, 0, 0, 4, 1, 0, 0
48, 41, 154, 0, 0, 4, 1, 0, 0
49, 41, 154, 0, 0, 4, 1, 0, 0
50, 41, 154, 0, 0, 4, 1, 0, 0
51, 41, 154, 0, 0, 4, 1, 0, 0
52, 41, 154, 0, 0, 4, 1, 0, 0
53, 41, 154, 0, 0, 4, 1, 0, 0
54, 41, 154, 0, 0, 4, 1, 0, 0
55, 41, 154, 0, 0, 4, 1, 0, 0
56, 41, 154, 0, 0, 4, 1, 0, 0
57, 40, 154, 0, 0, 5, 1, 0, 0
58, 40, 154, 0, 0, 5, 1, 0, 0
59, 40, 154, 0, 0, 5, 1, 0, 0
60, 39, 154, 0, 0, 6, 1, 0, 0
61, 39, 154, 0, 0, 6, 1, 0, 0
62, 39, 154, 0, 0, 6, 1, 0, 0
63, 39, 154, 0, 0, 6, 1, 0, 0
64, 39, 154, 0, 0, 6, 1, 0, 0
