Space Data
QuorumThresh = 2
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 48, 152, 0, 0, 0, 0, 0, 0
3, 48, 152, 0, 0, 0, 0, 0, 0
4, 48, 152, 0, 0, 0, 0, 0, 0
5, 48, 152, 0, 0, 0, 0, 0, 0
6, 48, 152, 0, 0, 0, 0, 0, 0
7, 48, 152, 0, 0, 0, 0, 0, 0
8, 48, 152, 0, 0, 0, 0, 0, 0
9, 48, 152, 0, 0, 0, 0, 0, 0
10, 48, 152, 0, 0, 0, 0, 0, 0
11, 48, 152, 0, 0, 0, 0, 0, 0
12, 48, 152, 0, 0, 0, 0, 0, 0
13, 48, 152, 0, 0, 0, 0, 0, 0
14, 48, 152, 0, 0, 0, 0, 0, 0
15, 48, 152, 0, 0, 0, 0, 0, 0
16, 48, 152, 0, 0, 0, 0, 0, 0
17, 48, 152, 0, 0, 0, 0, 0, 0
18, 48, 152, 0, 0, 0, 0, 0, 0
19, 48, 152, 0, 0, 0, 0, 0, 0
20, 48, 152, 0, 0, 0, 0, 0, 0
21, 48, 152, 0, 0, 0, 0, 0, 0
22, 48, 152, 0, 0, 0, 0, 0, 0
23, 47, 152, 0, 0, 1, 0, 0, 0
24, 47, 152, 0, 0, 1, 0, 0, 0
25, 47, 152, 0, 0, 1, 0, 0, 0
26, 47, 152, 0, 0, 1, 0, 0, 0
27, 47, 152, 0, 0, 1, 0, 0, 0
28, 47, 152, 0, 0, 1, 0, 0, 0
29, 47, 152, 0, 0, 1, 0, 0, 0
30, 47, 152, 0, 0, 1, 0, 0, 0
31, 47, 152, 0, 0, 1, 0, 0, 0
32, 47, 152, 0, 0, 1, 0, 0, 0
33, 47, 152, 0, 0, 1, 0, 0, 0
34, 47, 152, 0, 0, 1, 0, 0, 0
35, 47, 152, 0, 0, 1, 0, 0, 0
36, 47, 152, 0, 0, 1, 0, 0, 0
37, 47, 152, 0, 0, 1, 0, 0, 0
38, 47, 152, 0, 0, 1, 0, 0, 0
39, 46, 152, 0, 0, 2, 0, 0, 0
40, 46, 152, 0, 0, 2, 0, 0, 0
41, 45, 152, 0, 0, 2, 1, 0, 0
42, 44, 152, 0, 0, 3, 1, 0, 0
43, 44, 152, 0, 0, 3, 1, 0, 0
44, 43, 152, 0, 0, 3, 2, 0, 0
45, 43, 152, 0, 0, 3, 2, 0, 0
46, 43, 152, 0, 0, 3, 2, 0, 0
47, 43, 152, 0, 0, 3, 2, 0, 0
48, 43, 152, 0, 0, 3, 2, 0, 0
49, 43, 152, 0, 0, 3, 2, 0, 0
50, 43, 152, 0, 0, 3, 2, 0, 0
51, 43, 152, 0, 0, 3, 2, 0, 0
52, 43, 152, 0, 0, 3, 2, 0, 0
53, 42, 152, 0, 0, 4, 2, 0, 0
54, 39, 152, 0, 0, 6, 3, 0, 0
55, 39, 152, 0, 0, 6, 3, 0, 0
56, 39, 152, 0, 0, 6, 3, 0, 0
57, 39, 152, 0, 0, 6, 3, 0, 0
58, 39, 152, 0, 0, 6, 3, 0, 0
59, 39, 152, 0, 0, 6, 3, 0, 0
60, 39, 152, 0, 0, 6, 3, 0, 0
61, 39, 152, 0, 0, 6, 3, 0, 0
62, 39, 152, 0, 0, 6, 3, 0, 0
63, 39, 152, 0, 0, 6, 3, 0, 0
64, 39, 152, 0, 0, 6, 3, 0, 0
