Space Data
QuorumThresh = 8
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 42, 158, 0, 0, 0, 0, 0, 0
4, 42, 158, 0, 0, 0, 0, 0, 0
5, 42, 158, 0, 0, 0, 0, 0, 0
6, 42, 158, 0, 0, 0, 0, 0, 0
7, 42, 158, 0, 0, 0, 0, 0, 0
8, 42, 158, 0, 0, 0, 0, 0, 0
9, 42, 158, 0, 0, 0, 0, 0, 0
10, 42, 158, 0, 0, 0, 0, 0, 0
11, 42, 158, 0, 0, 0, 0, 0, 0
12, 42, 158, 0, 0, 0, 0, 0, 0
13, 42, 158, 0, 0, 0, 0, 0, 0
14, 42, 158, 0, 0, 0, 0, 0, 0
15, 42, 158, 0, 0, 0, 0, 0, 0
16, 42, 158, 0, 0, 0, 0, 0, 0
17, 42, 158, 0, 0, 0, 0, 0, 0
18, 42, 158, 0, 0, 0, 0, 0, 0
19, 42, 158, 0, 0, 0, 0, 0, 0
20, 41, 158, 0, 0, 0, 1, 0, 0
21, 41, 158, 0, 0, 0, 1, 0, 0
22, 41, 158, 0, 0, 0, 1, 0, 0
23, 41, 158, 0, 0, 0, 1, 0, 0
24, 41, 158, 0, 0, 0, 1, 0, 0
25, 41, 158, 0, 0, 0, 1, 0, 0
26, 41, 158, 0, 0, 0, 1, 0, 0
27, 41, 158, 0, 0, 0, 1, 0, 0
28, 41, 158, 0, 0, 0, 1, 0, 0
29, 41, 158, 0, 0, 0, 1, 0, 0
30, 41, 158, 0, 0, 0, 1, 0, 0
31, 41, 158, 0, 0, 0, 1, 0, 0
32, 41, 158, 0, 0, 0, 1, 0, 0
33, 41, 158, 0, 0, 0, 1, 0, 0
34, 41, 158, 0, 0, 0, 1, 0, 0
35, 41, 158, 0, 0, 0, 1, 0, 0
36, 41, 158, 0, 0, 0, 1, 0, 0
37, 40, 158, 0, 0, 0, 2, 0, 0
38, 40, 158, 0, 0, 0, 2, 0, 0
39, 39, 158, 0, 0, 1, 2, 0, 0
40, 39, 158, 0, 0, 1, 2, 0, 0
41, 39, 158, 0, 0, 1, 2, 0, 0
42, 39, 158, 0, 0, 1, 2, 0, 0
43, 38, 158, 0, 0, 1, 3, 0, 0
44, 38, 158, 0, 0, 1, 3, 0, 0
45, 38, 158, 0, 0, 1, 3, 0, 0
46, 38, 158, 0, 0, 1, 3, 0, 0
47, 37, 158, 0, 0, 2, 3, 0, 0
48, 37, 158, 0, 0, 2, 3, 0, 0
49, 36, 158, 0, 0, 3, 3, 0, 0
50, 36, 158, 0, 0, 3, 3, 0, 0
51, 36, 158, 0, 0, 3, 3, 0, 0
52, 35, 158, 0, 0, 4, 3, 0, 0
53, 35, 158, 0, 0, 4, 3, 0, 0
54, 35, 158, 0, 0, 4, 3, 0, 0
55, 35, 158, 0, 0, 4, 3, 0, 0
56, 35, 158, 0, 0, 4, 3, 0, 0
57, 34, 158, 0, 0, 4, 4, 0, 0
58, 34, 158, 0, 0, 4, 4, 0, 0
59, 34, 158, 0, 0, 4, 4, 0, 0
60, 34, 158, 0, 0, 4, 4, 0, 0
61, 34, 158, 0, 0, 4, 4, 0, 0
62, 34, 158, 0, 0, 4, 4, 0, 0
63, 34, 158, 0, 0, 4, 4, 0, 0
64, 34, 158, 0, 0, 4, 4, 0, 0
