Space Data
QuorumThresh = 4
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 45, 155, 0, 0, 0, 0, 0, 0
4, 45, 155, 0, 0, 0, 0, 0, 0
5, 45, 155, 0, 0, 0, 0, 0, 0
6, 45, 155, 0, 0, 0, 0, 0, 0
7, 45, 155, 0, 0, 0, 0, 0, 0
8, 45, 155, 0, 0, 0, 0, 0, 0
9, 45, 155, 0, 0, 0, 0, 0, 0
10, 45, 155, 0, 0, 0, 0, 0, 0
11, 45, 155, 0, 0, 0, 0, 0, 0
12, 45, 155, 0, 0, 0, 0, 0, 0
13, 45, 155, 0, 0, 0, 0, 0, 0
14, 45, 155, 0, 0, 0, 0, 0, 0
15, 45, 155, 0, 0, 0, 0, 0, 0
16, 45, 155, 0, 0, 0, 0, 0, 0
17, 45, 155, 0, 0, 0, 0, 0, 0
18, 45, 155, 0, 0, 0, 0, 0, 0
19, 45, 155, 0, 0, 0, 0, 0, 0
20, 45, 155, 0, 0, 0, 0, 0, 0
21, 45, 155, 0, 0, 0, 0, 0, 0
22, 45, 155, 0, 0, 0, 0, 0, 0
23, 45, 155, 0, 0, 0, 0, 0, 0
24, 44, 155, 0, 0, 0, 1, 0, 0
25, 44, 155, 0, 0, 0, 1, 0, 0
26, 44, 155, 0, 0, 0, 1, 0, 0
27, 44, 155, 0, 0, 0, 1, 0, 0
28, 43, 155, 0, 0, 1, 1, 0, 0
29, 43, 155, 0, 0, 1, 1, 0, 0
30, 43, 155, 0, 0, 1, 1, 0, 0
31, 43, 155, 0, 0, 1, 1, 0, 0
32, 43, 155, 0, 0, 1, 1, 0, 0
33, 43, 155, 0, 0, 1, 1, 0, 0
34, 43, 155, 0, 0, 1, 1, 0, 0
35, 43, 155, 0, 0, 1, 1, 0, 0
36, 43, 155, 0, 0, 1, 1, 0, 0
37, 43, 155, 0, 0, 1, 1, 0, 0
38, 42, 155, 0, 0, 2, 1, 0, 0
39, 42, 155, 0, 0, 2, 1, 0, 0
40, 41, 155, 0, 0, 2, 2, 0, 0
41, 41, 155, 0, 0, 2, 2, 0, 0
42, 40, 155, 0, 0, 3, 2, 0, 0
43, 40, 155, 0, 0, 3, 2, 0, 0
44, 39, 155, 0, 0, 3, 3, 0, 0
45, 39, 155, 0, 0, 3, 3, 0, 0
46, 38, 155, 0, 0, 4, 3, 0, 0
47, 38, 155, 0, 0, 4, 3, 0, 0
48, 38, 155, 0, 0, 4, 3, 0, 0
49, 38, 155, 0, 0, 4, 3, 0, 0
50, 37, 155, 0, 0, 4, 4, 0, 0
51, 37, 155, 0, 0, 4, 4, 0, 0
52, 37, 155, 0, 0, 4, 4, 0, 0
53, 37, 155, 0, 0, 4, 4, 0, 0
54, 37, 155, 0, 0, 4, 4, 0, 0
55, 37, 155, 0, 0, 4, 4, 0, 0
56, 37, 155, 0, 0, 4, 4, 0, 0
57, 37, 155, 0, 0, 4, 4, 0, 0
58, 37, 155, 0, 0, 4, 4, 0, 0
59, 37, 155, 0, 0, 4, 4, 0, 0
60, 37, 155, 0, 0, 4, 4, 0, 0
61, 36, 155, 0, 0, 5, 4, 0, 0
62, 35, 155, 0, 0, 6, 4, 0, 0
63, 35, 155, 0, 0, 6, 4, 0, 0
64, 35, 155, 0, 0, 6, 4, 0, 0
