Space Data
QuorumThresh = 0
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 50, 150, 0, 0, 0, 0, 0, 0
3, 50, 150, 0, 0, 0, 0, 0, 0
4, 50, 150, 0, 0, 0, 0, 0, 0
5, 50, 150, 0, 0, 0, 0, 0, 0
6, 50, 150, 0, 0, 0, 0, 0, 0
7, 50, 150, 0, 0, 0, 0, 0, 0
8, 50, 150, 0, 0, 0, 0, 0, 0
9, 50, 150, 0, 0, 0, 0, 0, 0
10, 50, 150, 0, 0, 0, 0, 0, 0
11, 50, 150, 0, 0, 0, 0, 0, 0
12, 50, 150, 0, 0, 0, 0, 0, 0
13, 50, 150, 0, 0, 0, 0, 0, 0
14, 50, 150, 0, 0, 0, 0, 0, 0
15, 50, 150, 0, 0, 0, 0, 0, 0
16, 50, 150, 0, 0, 0, 0, 0, 0
17, 50, 150, 0, 0, 0, 0, 0, 0
18, 50, 150, 0, 0, 0, 0, 0, 0
19, 50, 150, 0, 0, 0, 0, 0, 0
20, 50, 150, 0, 0, 0, 0, 0, 0
21, 50, 150, 0, 0, 0, 0, 0, 0
22, 50, 150, 0, 0, 0, 0, 0, 0
23, 50, 150, 0, 0, 0, 0, 0, 0
24, 50, 150, 0, 0, 0, 0, 0, 0
25, 50, 150, 0, 0, 0, 0, 0, 0
26, 50, 150, 0, 0, 0, 0, 0, 0
27, 49, 150, 0, 0, 0, 1, 0, 0
28, 49, 150, 0, 0, 0, 1, 0, 0
29, 49, 150, 0, 0, 0, 1, 0, 0
30, 49, 150, 0, 0, 0, 1, 0, 0
31, 49, 150, 0, 0, 0, 1, 0, 0
32, 49, 150, 0, 0, 0, 1, 0, 0
33, 49, 150, 0, 0, 0, 1, 0, 0
34, 48, 150, 0, 0, 1, 1, 0, 0
35, 48, 150, 0, 0, 1, 1, 0, 0
36, 48, 150, 0, 0, 1, 1, 0, 0
37, 47, 150, 0, 0, 1, 2, 0, 0
38, 47, 150, 0, 0, 1, 2, 0, 0
39, 47, 150, 0, 0, 1, 2, 0, 0
40, 47, 150, 0, 0, 1, 2, 0, 0
41, 47, 150, 0, 0, 1, 2, 0, 0
42, 47, 150, 0, 0, 1, 2, 0, 0
43, 47, 150, 0, 0, 1, 2, 0, 0
44, 47, 150, 0, 0, 1, 2, 0, 0
45, 47, 150, 0, 0, 1, 2, 0, 0
46, 47, 150, 0, 0, 1, 2, 0, 0
47, 47, 150, 0, 0, 1, 2, 0, 0
48, 45, 150, 0, 0, 2, 3, 0, 0
49, 45, 150, 0, 0, 2, 3, 0, 0
50, 45, 150, 0, 0, 2, 3, 0, 0
51, 44, 150, 0, 0, 3, 3, 0, 0
52, 44, 150, 0, 0, 3, 3, 0, 0
53, 42, 150, 0, 0, 4, 4, 0, 0
54, 42, 150, 0, 0, 4, 4, 0, 0
55, 42, 150, 0, 0, 4, 4, 0, 0
56, 42, 150, 0, 0, 4, 4, 0, 0
57, 42, 150, 0, 0, 4, 4, 0, 0
58, 42, 150, 0, 0, 4, 4, 0, 0
59, 42, 150, 0, 0, 4, 4, 0, 0
60, 42, 150, 0, 0, 4, 4, 0, 0
61, 42, 150, 0, 0, 4, 4, 0, 0
62, 42, 150, 0, 0, 4, 4, 0, 0
63, 42, 150, 0, 0, 4, 4, 0, 0
64, 41, 150, 0, 0, 5, 4, 0, 0
