Space Data
QuorumThresh = 0
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 50, 150, 0, 0, 0, 0, 0, 0
4, 50, 150, 0, 0, 0, 0, 0, 0
5, 50, 150, 0, 0, 0, 0, 0, 0
6, 50, 150, 0, 0, 0, 0, 0, 0
7, 50, 150, 0, 0, 0, 0, 0, 0
8, 50, 150, 0, 0, 0, 0, 0, 0
9, 50, 150, 0, 0, 0, 0, 0, 0
10, 50, 150, 0, 0, 0, 0, 0, 0
11, 50, 150, 0, 0, 0, 0, 0, 0
12, 50, 150, 0, 0, 0, 0, 0, 0
13, 50, 150, 0, 0, 0, 0, 0, 0
14, 50, 150, 0, 0, 0, 0, 0, 0
15, 50, 150, 0, 0, 0, 0, 0, 0
16, 50, 150, 0, 0, 0, 0, 0, 0
17, 49, 150, 0, 0, 1, 0, 0, 0
18, 49, 150, 0, 0, 1, 0, 0, 0
19, 49, 150, 0, 0, 1, 0, 0, 0
20, 49, 150, 0, 0, 1, 0, 0, 0
21, 48, 150, 0, 0, 2, 0, 0, 0
22, 48, 150, 0, 0, 2, 0, 0, 0
23, 48, 150, 0, 0, 2, 0, 0, 0
24, 48, 150, 0, 0, 2, 0, 0, 0
25, 48, 150, 0, 0, 2, 0, 0, 0
26, 48, 150, 0, 0, 2, 0, 0, 0
27, 47, 150, 0, 0, 3, 0, 0, 0
28, 45, 150, 0, 0, 3, 2, 0, 0
29, 45, 150, 0, 0, 3, 2, 0, 0
30, 45, 150, 0, 0, 3, 2, 0, 0
31, 45, 150, 0, 0, 3, 2, 0, 0
32, 45, 150, 0, 0, 3, 2, 0, 0
33, 45, 150, 0, 0, 3, 2, 0, 0
34, 45, 150, 0, 0, 3, 2, 0, 0
35, 44, 150, 0, 0, 3, 3, 0, 0
36, 44, 150, 0, 0, 3, 3, 0, 0
37, 44, 150, 0, 0, 3, 3, 0, 0
38, 43, 150, 0, 0, 4, 3, 0, 0
39, 42, 150, 0, 0, 5, 3, 0, 0
40, 42, 150, 0, 0, 5, 3, 0, 0
41, 42, 150, 0, 0, 5, 3, 0, 0
42, 42, 150, 0, 0, 5, 3, 0, 0
43, 42, 150, 0, 0, 5, 3, 0, 0
44, 41, 150, 0, 0, 5, 4, 0, 0
45, 41, 150, 0, 0, 5, 4, 0, 0
46, 41, 150, 0, 0, 5, 4, 0, 0
47, 41, 150, 0, 0, 5, 4, 0, 0
48, 40, 150, 0, 0, 5, 5, 0, 0
49, 40, 150, 0, 0, 5, 5, 0, 0
50, 39, 150, 0, 0, 5, 6, 0, 0
51, 38, 150, 0, 0, 6, 6, 0, 0
52, 37, 150, 0, 0, 7, 6, 0, 0
53, 36, 150, 0, 0, 8, 6, 0, 0
54, 36, 150, 0, 0, 8, 6, 0, 0
55, 36, 150, 0, 0, 8, 6, 0, 0
56, 36, 150, 0, 0, 8, 6, 0, 0
57, 36, 150, 0, 0, 8, 6, 0, 0
58, 36, 150, 0, 0, 8, 6, 0, 0
59, 36, 150, 0, 0, 8, 6, 0, 0
60, 36, 150, 0, 0, 8, 6, 0, 0
61, 36, 150, 0, 0, 8, 6, 0, 0
62, 36, 150, 0, 0, 8, 6, 0, 0
63, 36, 150, 0, 0, 8, 6, 0, 0
64, 36, 150, 0, 0, 8, 6, 0, 0
