Space Data
QuorumThresh = 10
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 40, 160, 0, 0, 0, 0, 0, 0
3, 40, 160, 0, 0, 0, 0, 0, 0
4, 40, 160, 0, 0, 0, 0, 0, 0
5, 40, 160, 0, 0, 0, 0, 0, 0
6, 40, 160, 0, 0, 0, 0, 0, 0
7, 40, 160, 0, 0, 0, 0, 0, 0
8, 40, 160, 0, 0, 0, 0, 0, 0
9, 40, 160, 0, 0, 0, 0, 0, 0
10, 40, 160, 0, 0, 0, 0, 0, 0
11, 40, 160, 0, 0, 0, 0, 0, 0
12, 40, 160, 0, 0, 0, 0, 0, 0
13, 40, 160, 0, 0, 0, 0, 0, 0
14, 40, 160, 0, 0, 0, 0, 0, 0
15, 40, 160, 0, 0, 0, 0, 0, 0
16, 40, 160, 0, 0, 0, 0, 0, 0
17, 40, 160, 0, 0, 0, 0, 0, 0
18, 40, 160, 0, 0, 0, 0, 0, 0
19, 40, 160, 0, 0, 0, 0, 0, 0
20, 40, 160, 0, 0, 0, 0, 0, 0
21, 40, 160, 0, 0, 0, 0, 0, 0
22, 40, 160, 0, 0, 0, 0, 0, 0
23, 40, 160, 0, 0, 0, 0, 0, 0
24, 40, 160, 0, 0, 0, 0, 0, 0
25, 40, 160, 0, 0, 0, 0, 0, 0
26, 40, 160, 0, 0, 0, 0, 0, 0
27, 40, 160, 0, 0, 0, 0, 0, 0
28, 40, 160, 0, 0, 0, 0, 0, 0
29, 39, 160, 0, 0, 1, 0, 0, 0
30, 39, 160, 0, 0, 1, 0, 0, 0
31, 39, 160, 0, 0, 1, 0, 0, 0
32, 39, 160, 0, 0, 1, 0, 0, 0
33, 39, 160, 0, 0, 1, 0, 0, 0
34, 38, 160, 0, 0, 1, 1, 0, 0
35, 38, 160, 0, 0, 1, 1, 0, 0
36, 38, 160, 0, 0, 1, 1, 0, 0
37, 38, 160, 0, 0, 1, 1, 0, 0
38, 37, 160, 0, 0, 1, 2, 0, 0
39, 37, 160, 0, 0, 1, 2, 0, 0
40, 37, 160, 0, 0, 1, 2, 0, 0
41, 37, 160, 0, 0, 1, 2, 0, 0
42, 36, 160, 0, 0, 1, 3, 0, 0
43, 36, 160, 0, 0, 1, 3, 0, 0
44, 36, 160, 0, 0, 1, 3, 0, 0
45, 36, 160, 0, 0, 1, 3, 0, 0
46, 36, 160, 0, 0, 1, 3, 0, 0
47, 35, 160, 0, 0, 2, 3, 0, 0
48, 35, 160, 0, 0, 2, 3, 0, 0
49, 34, 160, 0, 0, 2, 4, 0, 0
50, 32, 160, 0, 0, 3, 5, 0, 0
51, 32, 160, 0, 0, 3, 5, 0, 0
52, 31, 160, 0, 0, 3, 6, 0, 0
53, 31, 160, 0, 0, 3, 6, 0, 0
54, 30, 160, 0, 0, 3, 7, 0, 0
55, 30, 160, 0, 0, 3, 7, 0, 0
56, 30, 160, 0, 0, 3, 7, 0, 0
57, 30, 160, 0, 0, 3, 7, 0, 0
58, 30, 160, 0, 0, 3, 7, 0, 0
59, 30, 160, 0, 0, 3, 7, 0, 0
60, 30, 160, 0, 0, 3, 7, 0, 0
61, 30, 160, 0, 0, 3, 7, 0, 0
62, 30, 160, 0, 0, 3, 7, 0, 0
63, 30, 160, 0, 0, 3, 7, 0, 0
64, 30, 160, 0, 0, 3, 7, 0, 0
