Space Data
QuorumThresh = 1
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 47, 153, 0, 0, 0, 0, 0, 0
4, 47, 153, 0, 0, 0, 0, 0, 0
5, 47, 153, 0, 0, 0, 0, 0, 0
6, 47, 153, 0, 0, 0, 0, 0, 0
7, 47, 153, 0, 0, 0, 0, 0, 0
8, 47, 153, 0, 0, 0, 0, 0, 0
9, 47, 153, 0, 0, 0, 0, 0, 0
10, 47, 153, 0, 0, 0, 0, 0, 0
11, 47, 153, 0, 0, 0, 0, 0, 0
12, 47, 153, 0, 0, 0, 0, 0, 0
13, 47, 153, 0, 0, 0, 0, 0, 0
14, 47, 153, 0, 0, 0, 0, 0, 0
15, 47, 153, 0, 0, 0, 0, 0, 0
16, 47, 153, 0, 0, 0, 0, 0, 0
17, 47, 153, 0, 0, 0, 0, 0, 0
18, 47, 153, 0, 0, 0, 0, 0, 0
19, 47, 153, 0, 0, 0, 0, 0, 0
20, 47, 153, 0, 0, 0, 0, 0, 0
21, 47, 153, 0, 0, 0, 0, 0, 0
22, 47, 153, 0, 0, 0, 0, 0, 0
23, 46, 153, 0, 0, 1, 0, 0, 0
24, 46, 153, 0, 0, 1, 0, 0, 0
25, 46, 153, 0, 0, 1, 0, 0, 0
26, 46, 153, 0, 0, 1, 0, 0, 0
27, 46, 153, 0, 0, 1, 0, 0, 0
28, 46, 153, 0, 0, 1, 0, 0, 0
29, 46, 153, 0, 0, 1, 0, 0, 0
30, 46, 153, 0, 0, 1, 0, 0, 0
31, 46, 153, 0, 0, 1, 0, 0, 0
32, 46, 153, 0, 0, 1, 0, 0, 0
33, 46, 153, 0, 0, 1, 0, 0, 0
34, 46, 153, 0, 0, 1, 0, 0, 0
35, 46, 153, 0, 0, 1, 0, 0, 0
36, 46, 153, 0, 0, 1, 0, 0, 0
37, 46, 153, 0, 0, 1, 0, 0, 0
38, 46, 153, 0, 0, 1, 0, 0, 0
39, 46, 153, 0, 0, 1, 0, 0, 0
40, 46, 153, 0, 0, 1, 0, 0, 0
41, 46, 153, 0, 0, 1, 0, 0, 0
42, 46, 153, 0, 0, 1, 0, 0, 0
43, 46, 153, 0, 0, 1, 0, 0, 0
44, 46, 153, 0, 0, 1, 0, 0, 0
45, 45, 153, 0, 0, 2, 0, 0, 0
46, 45, 153, 0, 0, 2, 0, 0, 0
47, 45, 153, 0, 0, 2, 0, 0, 0
48, 44, 153, 0, 0, 2, 1, 0, 0
49, 44, 153, 0, 0, 2, 1, 0, 0
50, 44, 153, 0, 0, 2, 1, 0, 0
51, 44, 153, 0, 0, 2, 1, 0, 0
52, 44, 153, 0, 0, 2, 1, 0, 0
53, 43, 153, 0, 0, 2, 2, 0, 0
54, 43, 153, 0, 0, 2, 2, 0, 0
55, 43, 153, 0, 0, 2, 2, 0, 0
56, 43, 153, 0, 0, 2, 2, 0, 0
57, 43, 153, 0, 0, 2, 2, 0, 0
58, 42, 153, 0, 0, 3, 2, 0, 0
59, 41, 153, 0, 0, 3, 3, 0, 0
60, 41, 153, 0, 0, 3, 3, 0, 0
61, 41, 153, 0, 0, 3, 3, 0, 0
62, 41, 153, 0, 0, 3, 3, 0, 0
63, 41, 153, 0, 0, 3, 3, 0, 0
64, 41, 153, 0, 0, 3, 3, 0, 0
