Space Data
QuorumThresh = 2
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 48, 152, 0, 0, 0, 0, 0, 0
3, 48, 152, 0, 0, 0, 0, 0, 0
4, 48, 152, 0, 0, 0, 0, 0, 0
5, 48, 152, 0, 0, 0, 0, 0, 0
6, 48, 152, 0, 0, 0, 0, 0, 0
7, 48, 152, 0, 0, 0, 0, 0, 0
8, 48, 152, 0, 0, 0, 0, 0, 0
9, 48, 152, 0, 0, 0, 0, 0, 0
10, 48, 152, 0, 0, 0, 0, 0, 0
11, 48, 152, 0, 0, 0, 0, 0, 0
12, 48, 152, 0, 0, 0, 0, 0, 0
13, 48, 152, 0, 0, 0, 0, 0, 0
14, 48, 152, 0, 0, 0, 0, 0, 0
15, 47, 152, 0, 0, 1, 0, 0, 0
16, 47, 152, 0, 0, 1, 0, 0, 0
17, 47, 152, 0, 0, 1, 0, 0, 0
18, 47, 152, 0, 0, 1, 0, 0, 0
19, 47, 152, 0, 0, 1, 0, 0, 0
20, 47, 152, 0, 0, 1, 0, 0, 0
21, 47, 152, 0, 0, 1, 0, 0, 0
22, 47, 152, 0, 0, 1, 0, 0, 0
23, 47, 152, 0, 0, 1, 0, 0, 0
24, 47, 152, 0, 0, 1, 0, 0, 0
25, 47, 152, 0, 0, 1, 0, 0, 0
26, 46, 152, 0, 0, 1, 1, 0, 0
27, 46, 152, 0, 0, 1, 1, 0, 0
28, 46, 152, 0, 0, 1, 1, 0, 0
29, 46, 152, 0, 0, 1, 1, 0, 0
30, 46, 152, 0, 0, 1, 1, 0, 0
31, 45, 152, 0, 0, 1, 2, 0, 0
32, 44, 152, 0, 0, 1, 3, 0, 0
33, 43, 152, 0, 0, 1, 4, 0, 0
34, 43, 152, 0, 0, 1, 4, 0, 0
35, 42, 152, 0, 0, 2, 4, 0, 0
36, 41, 152, 0, 0, 3, 4, 0, 0
37, 41, 152, 0, 0, 3, 4, 0, 0
38, 41, 152, 0, 0, 3, 4, 0, 0
39, 41, 152, 0, 0, 3, 4, 0, 0
40, 41, 152, 0, 0, 3, 4, 0, 0
41, 41, 152, 0, 0, 3, 4, 0, 0
42, 41, 152, 0, 0, 3, 4, 0, 0
43, 41, 152, 0, 0, 3, 4, 0, 0
44, 41, 152, 0, 0, 3, 4, 0, 0
45, 41, 152, 0, 0, 3, 4, 0, 0
46, 41, 152, 0, 0, 3, 4, 0, 0
47, 40, 152, 0, 0, 4, 4, 0, 0
48, 40, 152, 0, 0, 4, 4, 0, 0
49, 40, 152, 0, 0, 4, 4, 0, 0
50, 39, 152, 0, 0, 5, 4, 0, 0
51, 38, 152, 0, 0, 6, 4, 0, 0
52, 38, 152, 0, 0, 6, 4, 0, 0
53, 38, 152, 0, 0, 6, 4, 0, 0
54, 38, 152, 0, 0, 6, 4, 0, 0
55, 38, 152, 0, 0, 6, 4, 0, 0
56, 38, 152, 0, 0, 6, 4, 0, 0
57, 38, 152, 0, 0, 6, 4, 0, 0
58, 38, 152, 0, 0, 6, 4, 0, 0
59, 38, 152, 0, 0, 6, 4, 0, 0
60, 38, 152, 0, 0, 6, 4, 0, 0
61, 38, 152, 0, 0, 6, 4, 0, 0
62, 37, 152, 0, 0, 6, 5, 0, 0
63, 36, 152, 0, 0, 7, 5, 0, 0
64, 36, 152, 0, 0, 7, 5, 0, 0
