Space Data
QuorumThresh = 12
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 38, 162, 0, 0, 0, 0, 0, 0
4, 38, 162, 0, 0, 0, 0, 0, 0
5, 38, 162, 0, 0, 0, 0, 0, 0
6, 38, 162, 0, 0, 0, 0, 0, 0
7, 38, 162, 0, 0, 0, 0, 0, 0
8, 38, 162, 0, 0, 0, 0, 0, 0
9, 38, 162, 0, 0, 0, 0, 0, 0
10, 38, 162, 0, 0, 0, 0, 0, 0
11, 38, 162, 0, 0, 0, 0, 0, 0
12, 38, 162, 0, 0, 0, 0, 0, 0
13, 38, 162, 0, 0, 0, 0, 0, 0
14, 38, 162, 0, 0, 0, 0, 0, 0
15, 38, 162, 0, 0, 0, 0, 0, 0
16, 38, 162, 0, 0, 0, 0, 0, 0
17, 38, 162, 0, 0, 0, 0, 0, 0
18, 38, 162, 0, 0, 0, 0, 0, 0
19, 38, 162, 0, 0, 0, 0, 0, 0
20, 38, 162, 0, 0, 0, 0, 0, 0
21, 38, 162, 0, 0, 0, 0, 0, 0
22, 38, 162, 0, 0, 0, 0, 0, 0
23, 38, 162, 0, 0, 0, 0, 0, 0
24, 38, 162, 0, 0, 0, 0, 0, 0
25, 37, 162, 0, 0, 0, 1, 0, 0
26, 37, 162, 0, 0, 0, 1, 0, 0
27, 37, 162, 0, 0, 0, 1, 0, 0
28, 37, 162, 0, 0, 0, 1, 0, 0
29, 37, 162, 0, 0, 0, 1, 0, 0
30, 37, 162, 0, 0, 0, 1, 0, 0
31, 37, 162, 0, 0, 0, 1, 0, 0
32, 37, 162, 0, 0, 0, 1, 0, 0
33, 37, 162, 0, 0, 0, 1, 0, 0
34, 37, 162, 0, 0, 0, 1, 0, 0
35, 36, 162, 0, 0, 0, 2, 0, 0
36, 35, 162, 0, 0, 0, 3, 0, 0
37, 35, 162, 0, 0, 0, 3, 0, 0
38, 35, 162, 0, 0, 0, 3, 0, 0
39, 34, 162, 0, 0, 1, 3, 0, 0
40, 34, 162, 0, 0, 1, 3, 0, 0
41, 34, 162, 0, 0, 1, 3, 0, 0
42, 34, 162, 0, 0, 1, 3, 0, 0
43, 34, 162, 0, 0, 1, 3, 0, 0
44, 34, 162, 0, 0, 1, 3, 0, 0
45, 34, 162, 0, 0, 1, 3, 0, 0
46, 34, 162, 0, 0, 1, 3, 0, 0
47, 34, 162, 0, 0, 1, 3, 0, 0
48, 34, 162, 0, 0, 1, 3, 0, 0
49, 34, 162, 0, 0, 1, 3, 0, 0
50, 34, 162, 0, 0, 1, 3, 0, 0
51, 34, 162, 0, 0, 1, 3, 0, 0
52, 34, 162, 0, 0, 1, 3, 0, 0
53, 34, 162, 0, 0, 1, 3, 0, 0
54, 34, 162, 0, 0, 1, 3, 0, 0
55, 34, 162, 0, 0, 1, 3, 0, 0
56, 34, 162, 0, 0, 1, 3, 0, 0
57, 33, 162, 0, 0, 2, 3, 0, 0
58, 32, 162, 0, 0, 3, 3, 0, 0
59, 32, 162, 0, 0, 3, 3, 0, 0
60, 32, 162, 0, 0, 3, 3, 0, 0
61, 32, 162, 0, 0, 3, 3, 0, 0
62, 32, 162, 0, 0, 3, 3, 0, 0
63, 32, 162, 0, 0, 3, 3, 0, 0
64, 32, 162, 0, 0, 3, 3, 0, 0
