Space Data
QuorumThresh = 1
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 48, 152, 0, 0, 0, 0, 0, 0
4, 48, 152, 0, 0, 0, 0, 0, 0
5, 48, 152, 0, 0, 0, 0, 0, 0
6, 48, 152, 0, 0, 0, 0, 0, 0
7, 48, 152, 0, 0, 0, 0, 0, 0
8, 48, 152, 0, 0, 0, 0, 0, 0
9, 48, 152, 0, 0, 0, 0, 0, 0
10, 48, 152, 0, 0, 0, 0, 0, 0
11, 48, 152, 0, 0, 0, 0, 0, 0
12, 48, 152, 0, 0, 0, 0, 0, 0
13, 48, 152, 0, 0, 0, 0, 0, 0
14, 48, 152, 0, 0, 0, 0, 0, 0
15, 48, 152, 0, 0, 0, 0, 0, 0
16, 48, 152, 0, 0, 0, 0, 0, 0
17, 48, 152, 0, 0, 0, 0, 0, 0
18, 48, 152, 0, 0, 0, 0, 0, 0
19, 48, 152, 0, 0, 0, 0, 0, 0
20, 48, 152, 0, 0, 0, 0, 0, 0
21, 48, 152, 0, 0, 0, 0, 0, 0
22, 48, 152, 0, 0, 0, 0, 0, 0
23, 48, 152, 0, 0, 0, 0, 0, 0
24, 48, 152, 0, 0, 0, 0, 0, 0
25, 48, 152, 0, 0, 0, 0, 0, 0
26, 47, 152, 0, 0, 1, 0, 0, 0
27, 47, 152, 0, 0, 1, 0, 0, 0
28, 47, 152, 0, 0, 1, 0, 0, 0
29, 46, 152, 0, 0, 1, 1, 0, 0
30, 46, 152, 0, 0, 1, 1, 0, 0
31, 46, 152, 0, 0, 1, 1, 0, 0
32, 46, 152, 0, 0, 1, 1, 0, 0
33, 46, 152, 0, 0, 1, 1, 0, 0
34, 46, 152, 0, 0, 1, 1, 0, 0
35, 46, 152, 0, 0, 1, 1, 0, 0
36, 46, 152, 0, 0, 1, 1, 0, 0
37, 46, 152, 0, 0, 1, 1, 0, 0
38, 45, 152, 0, 0, 1, 2, 0, 0
39, 45, 152, 0, 0, 1, 2, 0, 0
40, 44, 152, 0, 0, 1, 3, 0, 0
41, 44, 152, 0, 0, 1, 3, 0, 0
42, 43, 152, 0, 0, 2, 3, 0, 0
43, 42, 152, 0, 0, 2, 4, 0, 0
44, 42, 152, 0, 0, 2, 4, 0, 0
45, 42, 152, 0, 0, 2, 4, 0, 0
46, 41, 152, 0, 0, 2, 5, 0, 0
47, 41, 152, 0, 0, 2, 5, 0, 0
48, 41, 152, 0, 0, 2, 5, 0, 0
49, 40, 152, 0, 0, 3, 5, 0, 0
50, 39, 152, 0, 0, 4, 5, 0, 0
51, 39, 152, 0, 0, 4, 5, 0, 0
52, 38, 152, 0, 0, 4, 6, 0, 0
53, 38, 152, 0, 0, 4, 6, 0, 0
54, 37, 152, 0, 0, 5, 6, 0, 0
55, 37, 152, 0, 0, 5, 6, 0, 0
56, 36, 152, 0, 0, 6, 6, 0, 0
57, 36, 152, 0, 0, 6, 6, 0, 0
58, 36, 152, 0, 0, 6, 6, 0, 0
59, 36, 152, 0, 0, 6, 6, 0, 0
60, 36, 152, 0, 0, 6, 6, 0, 0
61, 35, 152, 0, 0, 7, 6, 0, 0
62, 35, 152, 0, 0, 7, 6, 0, 0
63, 34, 152, 0, 0, 8, 6, 0, 0
64, 34, 152, 0, 0, 8, 6, 0, 0
