Space Data
QuorumThresh = 10
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 40, 160, 0, 0, 0, 0, 0, 0
4, 40, 160, 0, 0, 0, 0, 0, 0
5, 40, 160, 0, 0, 0, 0, 0, 0
6, 40, 160, 0, 0, 0, 0, 0, 0
7, 40, 160, 0, 0, 0, 0, 0, 0
8, 40, 160, 0, 0, 0, 0, 0, 0
9, 40, 160, 0, 0, 0, 0, 0, 0
10, 40, 160, 0, 0, 0, 0, 0, 0
11, 40, 160, 0, 0, 0, 0, 0, 0
12, 40, 160, 0, 0, 0, 0, 0, 0
13, 40, 160, 0, 0, 0, 0, 0, 0
14, 40, 160, 0, 0, 0, 0, 0, 0
15, 40, 160, 0, 0, 0, 0, 0, 0
16, 40, 160, 0, 0, 0, 0, 0, 0
17, 40, 160, 0, 0, 0, 0, 0, 0
18, 40, 160, 0, 0, 0, 0, 0, 0
19, 40, 160, 0, 0, 0, 0, 0, 0
20, 40, 160, 0, 0, 0, 0, 0, 0
21, 40, 160, 0, 0, 0, 0, 0, 0
22, 39, 160, 0, 0, 0, 1, 0, 0
23, 39, 160, 0, 0, 0, 1, 0, 0
24, 38, 160, 0, 0, 1, 1, 0, 0
25, 38, 160, 0, 0, 1, 1, 0, 0
26, 38, 160, 0, 0, 1, 1, 0, 0
27, 38, 160, 0, 0, 1, 1, 0, 0
28, 38, 160, 0, 0, 1, 1, 0, 0
29, 38, 160, 0, 0, 1, 1, 0, 0
30, 38, 160, 0, 0, 1, 1, 0, 0
31, 38, 160, 0, 0, 1, 1, 0, 0
32, 38, 160, 0, 0, 1, 1, 0, 0
33, 38, 160, 0, 0, 1, 1, 0, 0
34, 37, 160, 0, 0, 1, 2, 0, 0
35, 37, 160, 0, 0, 1, 2, 0, 0
36, 36, 160, 0, 0, 1, 3, 0, 0
37, 36, 160, 0, 0, 1, 3, 0, 0
38, 36, 160, 0, 0, 1, 3, 0, 0
39, 36, 160, 0, 0, 1, 3, 0, 0
40, 36, 160, 0, 0, 1, 3, 0, 0
41, 36, 160, 0, 0, 1, 3, 0, 0
42, 36, 160, 0, 0, 1, 3, 0, 0
43, 36, 160, 0, 0, 1, 3, 0, 0
44, 36, 160, 0, 0, 1, 3, 0, 0
45, 36, 160, 0, 0, 1, 3, 0, 0
46, 34, 160, 0, 0, 2, 4, 0, 0
47, 34, 160, 0, 0, 2, 4, 0, 0
48, 34, 160, 0, 0, 2, 4, 0, 0
49, 34, 160, 0, 0, 2, 4, 0, 0
50, 31, 160, 0, 0, 4, 5, 0, 0
51, 31, 160, 0, 0, 4, 5, 0, 0
52, 31, 160, 0, 0, 4, 5, 0, 0
53, 31, 160, 0, 0, 4, 5, 0, 0
54, 31, 160, 0, 0, 4, 5, 0, 0
55, 31, 160, 0, 0, 4, 5, 0, 0
56, 31, 160, 0, 0, 4, 5, 0, 0
57, 31, 160, 0, 0, 4, 5, 0, 0
58, 31, 160, 0, 0, 4, 5, 0, 0
59, 31, 160, 0, 0, 4, 5, 0, 0
60, 31, 160, 0, 0, 4, 5, 0, 0
61, 31, 160, 0, 0, 4, 5, 0, 0
62, 30, 160, 0, 0, 5, 5, 0, 0
63, 30, 160, 0, 0, 5, 5, 0, 0
64, 30, 160, 0, 0, 5, 5, 0, 0
