Space Data
QuorumThresh = 12
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 37, 163, 0, 0, 0, 0, 0, 0
4, 37, 163, 0, 0, 0, 0, 0, 0
5, 37, 163, 0, 0, 0, 0, 0, 0
6, 37, 163, 0, 0, 0, 0, 0, 0
7, 37, 163, 0, 0, 0, 0, 0, 0
8, 37, 163, 0, 0, 0, 0, 0, 0
9, 37, 163, 0, 0, 0, 0, 0, 0
10, 37, 163, 0, 0, 0, 0, 0, 0
11, 37, 163, 0, 0, 0, 0, 0, 0
12, 37, 163, 0, 0, 0, 0, 0, 0
13, 37, 163, 0, 0, 0, 0, 0, 0
14, 37, 163, 0, 0, 0, 0, 0, 0
15, 37, 163, 0, 0, 0, 0, 0, 0
16, 37, 163, 0, 0, 0, 0, 0, 0
17, 37, 163, 0, 0, 0, 0, 0, 0
18, 37, 163, 0, 0, 0, 0, 0, 0
19, 37, 163, 0, 0, 0, 0, 0, 0
20, 37, 163, 0, 0, 0, 0, 0, 0
21, 37, 163, 0, 0, 0, 0, 0, 0
22, 37, 163, 0, 0, 0, 0, 0, 0
23, 37, 163, 0, 0, 0, 0, 0, 0
24, 37, 163, 0, 0, 0, 0, 0, 0
25, 36, 163, 0, 0, 1, 0, 0, 0
26, 36, 163, 0, 0, 1, 0, 0, 0
27, 36, 163, 0, 0, 1, 0, 0, 0
28, 36, 163, 0, 0, 1, 0, 0, 0
29, 36, 163, 0, 0, 1, 0, 0, 0
30, 36, 163, 0, 0, 1, 0, 0, 0
31, 36, 163, 0, 0, 1, 0, 0, 0
32, 36, 163, 0, 0, 1, 0, 0, 0
33, 36, 163, 0, 0, 1, 0, 0, 0
34, 36, 163, 0, 0, 1, 0, 0, 0
35, 36, 163, 0, 0, 1, 0, 0, 0
36, 36, 163, 0, 0, 1, 0, 0, 0
37, 36, 163, 0, 0, 1, 0, 0, 0
38, 36, 163, 0, 0, 1, 0, 0, 0
39, 36, 163, 0, 0, 1, 0, 0, 0
40, 36, 163, 0, 0, 1, 0, 0, 0
41, 36, 163, 0, 0, 1, 0, 0, 0
42, 36, 163, 0, 0, 1, 0, 0, 0
43, 35, 163, 0, 0, 2, 0, 0, 0
44, 35, 163, 0, 0, 2, 0, 0, 0
45, 35, 163, 0, 0, 2, 0, 0, 0
46, 34, 163, 0, 0, 2, 1, 0, 0
47, 33, 163, 0, 0, 3, 1, 0, 0
48, 33, 163, 0, 0, 3, 1, 0, 0
49, 33, 163, 0, 0, 3, 1, 0, 0
50, 33, 163, 0, 0, 3, 1, 0, 0
51, 33, 163, 0, 0, 3, 1, 0, 0
52, 33, 163, 0, 0, 3, 1, 0, 0
53, 33, 163, 0, 0, 3, 1, 0, 0
54, 32, 163, 0, 0, 3, 2, 0, 0
55, 32, 163, 0, 0, 3, 2, 0, 0
56, 32, 163, 0, 0, 3, 2, 0, 0
57, 32, 163, 0, 0, 3, 2, 0, 0
58, 32, 163, 0, 0, 3, 2, 0, 0
59, 32, 163, 0, 0, 3, 2, 0, 0
60, 32, 163, 0, 0, 3, 2, 0, 0
61, 31, 163, 0, 0, 4, 2, 0, 0
62, 31, 163, 0, 0, 4, 2, 0, 0
63, 31, 163, 0, 0, 4, 2, 0, 0
64, 31, 163, 0, 0, 4, 2, 0, 0
