Space Data
QuorumThresh = 4
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 45, 155, 0, 0, 0, 0, 0, 0
4, 45, 155, 0, 0, 0, 0, 0, 0
5, 45, 155, 0, 0, 0, 0, 0, 0
6, 45, 155, 0, 0, 0, 0, 0, 0
7, 45, 155, 0, 0, 0, 0, 0, 0
8, 45, 155, 0, 0, 0, 0, 0, 0
9, 45, 155, 0, 0, 0, 0, 0, 0
10, 45, 155, 0, 0, 0, 0, 0, 0
11, 45, 155, 0, 0, 0, 0, 0, 0
12, 45, 155, 0, 0, 0, 0, 0, 0
13, 45, 155, 0, 0, 0, 0, 0, 0
14, 45, 155, 0, 0, 0, 0, 0, 0
15, 45, 155, 0, 0, 0, 0, 0, 0
16, 45, 155, 0, 0, 0, 0, 0, 0
17, 45, 155, 0, 0, 0, 0, 0, 0
18, 45, 155, 0, 0, 0, 0, 0, 0
19, 45, 155, 0, 0, 0, 0, 0, 0
20, 45, 155, 0, 0, 0, 0, 0, 0
21, 45, 155, 0, 0, 0, 0, 0, 0
22, 45, 155, 0, 0, 0, 0, 0, 0
23, 45, 155, 0, 0, 0, 0, 0, 0
24, 45, 155, 0, 0, 0, 0, 0, 0
25, 45, 155, 0, 0, 0, 0, 0, 0
26, 45, 155, 0, 0, 0, 0, 0, 0
27, 45, 155, 0, 0, 0, 0, 0, 0
28, 45, 155, 0, 0, 0, 0, 0, 0
29, 45, 155, 0, 0, 0, 0, 0, 0
30, 45, 155, 0, 0, 0, 0, 0, 0
31, 45, 155, 0, 0, 0, 0, 0, 0
32, 44, 155, 0, 0, 0, 1, 0, 0
33, 44, 155, 0, 0, 0, 1, 0, 0
34, 43, 155, 0, 0, 1, 1, 0, 0
35, 43, 155, 0, 0, 1, 1, 0, 0
36, 42, 155, 0, 0, 2, 1, 0, 0
37, 42, 155, 0, 0, 2, 1, 0, 0
38, 42, 155, 0, 0, 2, 1, 0, 0
39, 42, 155, 0, 0, 2, 1, 0, 0
40, 42, 155, 0, 0, 2, 1, 0, 0
41, 42, 155, 0, 0, 2, 1, 0, 0
42, 42, 155, 0, 0, 2, 1, 0, 0
43, 42, 155, 0, 0, 2, 1, 0, 0
44, 42, 155, 0, 0, 2, 1, 0, 0
45, 42, 155, 0, 0, 2, 1, 0, 0
46, 42, 155, 0, 0, 2, 1, 0, 0
47, 42, 155, 0, 0, 2, 1, 0, 0
48, 42, 155, 0, 0, 2, 1, 0, 0
49, 41, 155, 0, 0, 3, 1, 0, 0
50, 41, 155, 0, 0, 3, 1, 0, 0
51, 41, 155, 0, 0, 3, 1, 0, 0
52, 41, 155, 0, 0, 3, 1, 0, 0
53, 41, 155, 0, 0, 3, 1, 0, 0
54, 41, 155, 0, 0, 3, 1, 0, 0
55, 41, 155, 0, 0, 3, 1, 0, 0
56, 41, 155, 0, 0, 3, 1, 0, 0
57, 41, 155, 0, 0, 3, 1, 0, 0
58, 41, 155, 0, 0, 3, 1, 0, 0
59, 41, 155, 0, 0, 3, 1, 0, 0
60, 41, 155, 0, 0, 3, 1, 0, 0
61, 41, 155, 0, 0, 3, 1, 0, 0
62, 41, 155, 0, 0, 3, 1, 0, 0
63, 41, 155, 0, 0, 3, 1, 0, 0
64, 41, 155, 0, 0, 3, 1, 0, 0
