Space Data
QuorumThresh = 1
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 48, 152, 0, 0, 0, 0, 0, 0
3, 48, 152, 0, 0, 0, 0, 0, 0
4, 48, 152, 0, 0, 0, 0, 0, 0
5, 48, 152, 0, 0, 0, 0, 0, 0
6, 48, 152, 0, 0, 0, 0, 0, 0
7, 48, 152, 0, 0, 0, 0, 0, 0
8, 48, 152, 0, 0, 0, 0, 0, 0
9, 48, 152, 0, 0, 0, 0, 0, 0
10, 48, 152, 0, 0, 0, 0, 0, 0
11, 48, 152, 0, 0, 0, 0, 0, 0
12, 48, 152, 0, 0, 0, 0, 0, 0
13, 48, 152, 0, 0, 0, 0, 0, 0
14, 48, 152, 0, 0, 0, 0, 0, 0
15, 48, 152, 0, 0, 0, 0, 0, 0
16, 48, 152, 0, 0, 0, 0, 0, 0
17, 48, 152, 0, 0, 0, 0, 0, 0
18, 48, 152, 0, 0, 0, 0, 0, 0
19, 48, 152, 0, 0, 0, 0, 0, 0
20, 48, 152, 0, 0, 0, 0, 0, 0
21, 48, 152, 0, 0, 0, 0, 0, 0
22, 47, 152, 0, 0, 0, 1, 0, 0
23, 47, 152, 0, 0, 0, 1, 0, 0
24, 47, 152, 0, 0, 0, 1, 0, 0
25, 47, 152, 0, 0, 0, 1, 0, 0
26, 47, 152, 0, 0, 0, 1, 0, 0
27, 47, 152, 0, 0, 0, 1, 0, 0
28, 47, 152, 0, 0, 0, 1, 0, 0
29, 46, 152, 0, 0, 1, 1, 0, 0
30, 46, 152, 0, 0, 1, 1, 0, 0
31, 46, 152, 0, 0, 1, 1, 0, 0
32, 46, 152, 0, 0, 1, 1, 0, 0
33, 46, 152, 0, 0, 1, 1, 0, 0
34, 45, 152, 0, 0, 2, 1, 0, 0
35, 45, 152, 0, 0, 2, 1, 0, 0
36, 45, 152, 0, 0, 2, 1, 0, 0
37, 44, 152, 0, 0, 3, 1, 0, 0
38, 44, 152, 0, 0, 3, 1, 0, 0
39, 41, 152, 0, 0, 6, 1, 0, 0
40, 40, 152, 0, 0, 7, 1, 0, 0
41, 40, 152, 0, 0, 7, 1, 0, 0
42, 40, 152, 0, 0, 7, 1, 0, 0
43, 40, 152, 0, 0, 7, 1, 0, 0
44, 39, 152, 0, 0, 7, 2, 0, 0
45, 39, 152, 0, 0, 7, 2, 0, 0
46, 39, 152, 0, 0, 7, 2, 0, 0
47, 38, 152, 0, 0, 7, 3, 0, 0
48, 38, 152, 0, 0, 7, 3, 0, 0
49, 38, 152, 0, 0, 7, 3, 0, 0
50, 38, 152, 0, 0, 7, 3, 0, 0
51, 38, 152, 0, 0, 7, 3, 0, 0
52, 38, 152, 0, 0, 7, 3, 0, 0
53, 38, 152, 0, 0, 7, 3, 0, 0
54, 38, 152, 0, 0, 7, 3, 0, 0
55, 38, 152, 0, 0, 7, 3, 0, 0
56, 38, 152, 0, 0, 7, 3, 0, 0
57, 38, 152, 0, 0, 7, 3, 0, 0
58, 38, 152, 0, 0, 7, 3, 0, 0
59, 38, 152, 0, 0, 7, 3, 0, 0
60, 38, 152, 0, 0, 7, 3, 0, 0
61, 36, 152, 0, 0, 8, 4, 0, 0
62, 36, 152, 0, 0, 8, 4, 0, 0
63, 35, 152, 0, 0, 9, 4, 0, 0
64, 35, 152, 0, 0, 9, 4, 0, 0
