Space Data
QuorumThresh = 14
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 36, 164, 0, 0, 0, 0, 0, 0
3, 36, 164, 0, 0, 0, 0, 0, 0
4, 36, 164, 0, 0, 0, 0, 0, 0
5, 36, 164, 0, 0, 0, 0, 0, 0
6, 36, 164, 0, 0, 0, 0, 0, 0
7, 36, 164, 0, 0, 0, 0, 0, 0
8, 36, 164, 0, 0, 0, 0, 0, 0
9, 36, 164, 0, 0, 0, 0, 0, 0
10, 36, 164, 0, 0, 0, 0, 0, 0
11, 36, 164, 0, 0, 0, 0, 0, 0
12, 36, 164, 0, 0, 0, 0, 0, 0
13, 36, 164, 0, 0, 0, 0, 0, 0
14, 36, 164, 0, 0, 0, 0, 0, 0
15, 36, 164, 0, 0, 0, 0, 0, 0
16, 36, 164, 0, 0, 0, 0, 0, 0
17, 36, 164, 0, 0, 0, 0, 0, 0
18, 36, 164, 0, 0, 0, 0, 0, 0
19, 36, 164, 0, 0, 0, 0, 0, 0
20, 36, 164, 0, 0, 0, 0, 0, 0
21, 36, 164, 0, 0, 0, 0, 0, 0
22, 36, 164, 0, 0, 0, 0, 0, 0
23, 36, 164, 0, 0, 0, 0, 0, 0
24, 36, 164, 0, 0, 0, 0, 0, 0
25, 36, 164, 0, 0, 0, 0, 0, 0
26, 36, 164, 0, 0, 0, 0, 0, 0
27, 36, 164, 0, 0, 0, 0, 0, 0
28, 36, 164, 0, 0, 0, 0, 0, 0
29, 36, 164, 0, 0, 0, 0, 0, 0
30, 36, 164, 0, 0, 0, 0, 0, 0
31, 36, 164, 0, 0, 0, 0, 0, 0
32, 36, 164, 0, 0, 0, 0, 0, 0
33, 36, 164, 0, 0, 0, 0, 0, 0
34, 36, 164, 0, 0, 0, 0, 0, 0
35, 36, 164, 0, 0, 0, 0, 0, 0
36, 36, 164, 0, 0, 0, 0, 0, 0
37, 35, 164, 0, 0, 0, 1, 0, 0
38, 35, 164, 0, 0, 0, 1, 0, 0
39, 35, 164, 0, 0, 0, 1, 0, 0
40, 35, 164, 0, 0, 0, 1, 0, 0
41, 35, 164, 0, 0, 0, 1, 0, 0
42, 35, 164, 0, 0, 0, 1, 0, 0
43, 35, 164, 0, 0, 0, 1, 0, 0
44, 35, 164, 0, 0, 0, 1, 0, 0
45, 34, 164, 0, 0, 1, 1, 0, 0
46, 34, 164, 0, 0, 1, 1, 0, 0
47, 34, 164, 0, 0, 1, 1, 0, 0
48, 33, 164, 0, 0, 2, 1, 0, 0
49, 33, 164, 0, 0, 2, 1, 0, 0
50, 33, 164, 0, 0, 2, 1, 0, 0
51, 32, 164, 0, 0, 3, 1, 0, 0
52, 32, 164, 0, 0, 3, 1, 0, 0
53, 32, 164, 0, 0, 3, 1, 0, 0
54, 32, 164, 0, 0, 3, 1, 0, 0
55, 32, 164, 0, 0, 3, 1, 0, 0
56, 32, 164, 0, 0, 3, 1, 0, 0
57, 32, 164, 0, 0, 3, 1, 0, 0
58, 32, 164, 0, 0, 3, 1, 0, 0
59, 31, 164, 0, 0, 3, 2, 0, 0
60, 31, 164, 0, 0, 3, 2, 0, 0
61, 31, 164, 0, 0, 3, 2, 0, 0
62, 31, 164, 0, 0, 3, 2, 0, 0
63, 31, 164, 0, 0, 3, 2, 0, 0
64, 31, 164, 0, 0, 3, 2, 0, 0
