Space Data
QuorumThresh = 8
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 41, 159, 0, 0, 0, 0, 0, 0
3, 41, 159, 0, 0, 0, 0, 0, 0
4, 41, 159, 0, 0, 0, 0, 0, 0
5, 41, 159, 0, 0, 0, 0, 0, 0
6, 41, 159, 0, 0, 0, 0, 0, 0
7, 41, 159, 0, 0, 0, 0, 0, 0
8, 41, 159, 0, 0, 0, 0, 0, 0
9, 41, 159, 0, 0, 0, 0, 0, 0
10, 41, 159, 0, 0, 0, 0, 0, 0
11, 41, 159, 0, 0, 0, 0, 0, 0
12, 41, 159, 0, 0, 0, 0, 0, 0
13, 41, 159, 0, 0, 0, 0, 0, 0
14, 41, 159, 0, 0, 0, 0, 0, 0
15, 41, 159, 0, 0, 0, 0, 0, 0
16, 41, 159, 0, 0, 0, 0, 0, 0
17, 41, 159, 0, 0, 0, 0, 0, 0
18, 41, 159, 0, 0, 0, 0, 0, 0
19, 41, 159, 0, 0, 0, 0, 0, 0
20, 41, 159, 0, 0, 0, 0, 0, 0
21, 41, 159, 0, 0, 0, 0, 0, 0
22, 41, 159, 0, 0, 0, 0, 0, 0
23, 41, 159, 0, 0, 0, 0, 0, 0
24, 41, 159, 0, 0, 0, 0, 0, 0
25, 41, 159, 0, 0, 0, 0, 0, 0
26, 41, 159, 0, 0, 0, 0, 0, 0
27, 41, 159, 0, 0, 0, 0, 0, 0
28, 41, 159, 0, 0, 0, 0, 0, 0
29, 41, 159, 0, 0, 0, 0, 0, 0
30, 41, 159, 0, 0, 0, 0, 0, 0
31, 41, 159, 0, 0, 0, 0, 0, 0
32, 41, 159, 0, 0, 0, 0, 0, 0
33, 41, 159, 0, 0, 0, 0, 0, 0
34, 40, 159, 0, 0, 0, 1, 0, 0
35, 40, 159, 0, 0, 0, 1, 0, 0
36, 39, 159, 0, 0, 0, 2, 0, 0
37, 39, 159, 0, 0, 0, 2, 0, 0
38, 39, 159, 0, 0, 0, 2, 0, 0
39, 39, 159, 0, 0, 0, 2, 0, 0
40, 38, 159, 0, 0, 1, 2, 0, 0
41, 38, 159, 0, 0, 1, 2, 0, 0
42, 38, 159, 0, 0, 1, 2, 0, 0
43, 38, 159, 0, 0, 1, 2, 0, 0
44, 38, 159, 0, 0, 1, 2, 0, 0
45, 37, 159, 0, 0, 1, 3, 0, 0
46, 37, 159, 0, 0, 1, 3, 0, 0
47, 37, 159, 0, 0, 1, 3, 0, 0
48, 37, 159, 0, 0, 1, 3, 0, 0
49, 37, 159, 0, 0, 1, 3, 0, 0
50, 37, 159, 0, 0, 1, 3, 0, 0
51, 37, 159, 0, 0, 1, 3, 0, 0
52, 37, 159, 0, 0, 1, 3, 0, 0
53, 36, 159, 0, 0, 2, 3, 0, 0
54, 36, 159, 0, 0, 2, 3, 0, 0
55, 36, 159, 0, 0, 2, 3, 0, 0
56, 35, 159, 0, 0, 2, 4, 0, 0
57, 35, 159, 0, 0, 2, 4, 0, 0
58, 35, 159, 0, 0, 2, 4, 0, 0
59, 35, 159, 0, 0, 2, 4, 0, 0
60, 35, 159, 0, 0, 2, 4, 0, 0
61, 34, 159, 0, 0, 3, 4, 0, 0
62, 34, 159, 0, 0, 3, 4, 0, 0
63, 34, 159, 0, 0, 3, 4, 0, 0
64, 34, 159, 0, 0, 3, 4, 0, 0
