Space Data
QuorumThresh = 2
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 47, 153, 0, 0, 0, 0, 0, 0
4, 47, 153, 0, 0, 0, 0, 0, 0
5, 47, 153, 0, 0, 0, 0, 0, 0
6, 47, 153, 0, 0, 0, 0, 0, 0
7, 47, 153, 0, 0, 0, 0, 0, 0
8, 47, 153, 0, 0, 0, 0, 0, 0
9, 47, 153, 0, 0, 0, 0, 0, 0
10, 47, 153, 0, 0, 0, 0, 0, 0
11, 47, 153, 0, 0, 0, 0, 0, 0
12, 47, 153, 0, 0, 0, 0, 0, 0
13, 47, 153, 0, 0, 0, 0, 0, 0
14, 47, 153, 0, 0, 0, 0, 0, 0
15, 47, 153, 0, 0, 0, 0, 0, 0
16, 47, 153, 0, 0, 0, 0, 0, 0
17, 47, 153, 0, 0, 0, 0, 0, 0
18, 47, 153, 0, 0, 0, 0, 0, 0
19, 47, 153, 0, 0, 0, 0, 0, 0
20, 47, 153, 0, 0, 0, 0, 0, 0
21, 47, 153, 0, 0, 0, 0, 0, 0
22, 47, 153, 0, 0, 0, 0, 0, 0
23, 47, 153, 0, 0, 0, 0, 0, 0
24, 47, 153, 0, 0, 0, 0, 0, 0
25, 47, 153, 0, 0, 0, 0, 0, 0
26, 47, 153, 0, 0, 0, 0, 0, 0
27, 47, 153, 0, 0, 0, 0, 0, 0
28, 47, 153, 0, 0, 0, 0, 0, 0
29, 47, 153, 0, 0, 0, 0, 0, 0
30, 47, 153, 0, 0, 0, 0, 0, 0
31, 47, 153, 0, 0, 0, 0, 0, 0
32, 47, 153, 0, 0, 0, 0, 0, 0
33, 47, 153, 0, 0, 0, 0, 0, 0
34, 46, 153, 0, 0, 1, 0, 0, 0
35, 46, 153, 0, 0, 1, 0, 0, 0
36, 46, 153, 0, 0, 1, 0, 0, 0
37, 46, 153, 0, 0, 1, 0, 0, 0
38, 46, 153, 0, 0, 1, 0, 0, 0
39, 46, 153, 0, 0, 1, 0, 0, 0
40, 46, 153, 0, 0, 1, 0, 0, 0
41, 46, 153, 0, 0, 1, 0, 0, 0
42, 46, 153, 0, 0, 1, 0, 0, 0
43, 46, 153, 0, 0, 1, 0, 0, 0
44, 46, 153, 0, 0, 1, 0, 0, 0
45, 45, 153, 0, 0, 1, 1, 0, 0
46, 45, 153, 0, 0, 1, 1, 0, 0
47, 45, 153, 0, 0, 1, 1, 0, 0
48, 45, 153, 0, 0, 1, 1, 0, 0
49, 45, 153, 0, 0, 1, 1, 0, 0
50, 45, 153, 0, 0, 1, 1, 0, 0
51, 45, 153, 0, 0, 1, 1, 0, 0
52, 45, 153, 0, 0, 1, 1, 0, 0
53, 45, 153, 0, 0, 1, 1, 0, 0
54, 44, 153, 0, 0, 1, 2, 0, 0
55, 44, 153, 0, 0, 1, 2, 0, 0
56, 44, 153, 0, 0, 1, 2, 0, 0
57, 44, 153, 0, 0, 1, 2, 0, 0
58, 43, 153, 0, 0, 1, 3, 0, 0
59, 43, 153, 0, 0, 1, 3, 0, 0
60, 43, 153, 0, 0, 1, 3, 0, 0
61, 43, 153, 0, 0, 1, 3, 0, 0
62, 43, 153, 0, 0, 1, 3, 0, 0
63, 42, 153, 0, 0, 1, 4, 0, 0
64, 42, 153, 0, 0, 1, 4, 0, 0
