Space Data
QuorumThresh = 14
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 35, 165, 0, 0, 0, 0, 0, 0
3, 35, 165, 0, 0, 0, 0, 0, 0
4, 35, 165, 0, 0, 0, 0, 0, 0
5, 35, 165, 0, 0, 0, 0, 0, 0
6, 35, 165, 0, 0, 0, 0, 0, 0
7, 35, 165, 0, 0, 0, 0, 0, 0
8, 35, 165, 0, 0, 0, 0, 0, 0
9, 35, 165, 0, 0, 0, 0, 0, 0
10, 35, 165, 0, 0, 0, 0, 0, 0
11, 35, 165, 0, 0, 0, 0, 0, 0
12, 35, 165, 0, 0, 0, 0, 0, 0
13, 35, 165, 0, 0, 0, 0, 0, 0
14, 35, 165, 0, 0, 0, 0, 0, 0
15, 35, 165, 0, 0, 0, 0, 0, 0
16, 35, 165, 0, 0, 0, 0, 0, 0
17, 35, 165, 0, 0, 0, 0, 0, 0
18, 35, 165, 0, 0, 0, 0, 0, 0
19, 35, 165, 0, 0, 0, 0, 0, 0
20, 35, 165, 0, 0, 0, 0, 0, 0
21, 35, 165, 0, 0, 0, 0, 0, 0
22, 35, 165, 0, 0, 0, 0, 0, 0
23, 35, 165, 0, 0, 0, 0, 0, 0
24, 35, 165, 0, 0, 0, 0, 0, 0
25, 35, 165, 0, 0, 0, 0, 0, 0
26, 35, 165, 0, 0, 0, 0, 0, 0
27, 34, 165, 0, 0, 0, 1, 0, 0
28, 34, 165, 0, 0, 0, 1, 0, 0
29, 34, 165, 0, 0, 0, 1, 0, 0
30, 34, 165, 0, 0, 0, 1, 0, 0
31, 34, 165, 0, 0, 0, 1, 0, 0
32, 34, 165, 0, 0, 0, 1, 0, 0
33, 34, 165, 0, 0, 0, 1, 0, 0
34, 33, 165, 0, 0, 0, 2, 0, 0
35, 33, 165, 0, 0, 0, 2, 0, 0
36, 33, 165, 0, 0, 0, 2, 0, 0
37, 33, 165, 0, 0, 0, 2, 0, 0
38, 33, 165, 0, 0, 0, 2, 0, 0
39, 32, 165, 0, 0, 0, 3, 0, 0
40, 32, 165, 0, 0, 0, 3, 0, 0
41, 32, 165, 0, 0, 0, 3, 0, 0
42, 32, 165, 0, 0, 0, 3, 0, 0
43, 31, 165, 0, 0, 0, 4, 0, 0
44, 31, 165, 0, 0, 0, 4, 0, 0
45, 31, 165, 0, 0, 0, 4, 0, 0
46, 31, 165, 0, 0, 0, 4, 0, 0
47, 31, 165, 0, 0, 0, 4, 0, 0
48, 31, 165, 0, 0, 0, 4, 0, 0
49, 30, 165, 0, 0, 0, 5, 0, 0
50, 30, 165, 0, 0, 0, 5, 0, 0
51, 30, 165, 0, 0, 0, 5, 0, 0
52, 30, 165, 0, 0, 0, 5, 0, 0
53, 30, 165, 0, 0, 0, 5, 0, 0
54, 30, 165, 0, 0, 0, 5, 0, 0
55, 30, 165, 0, 0, 0, 5, 0, 0
56, 30, 165, 0, 0, 0, 5, 0, 0
57, 29, 165, 0, 0, 0, 6, 0, 0
58, 28, 165, 0, 0, 0, 7, 0, 0
59, 28, 165, 0, 0, 0, 7, 0, 0
60, 28, 165, 0, 0, 0, 7, 0, 0
61, 28, 165, 0, 0, 0, 7, 0, 0
62, 28, 165, 0, 0, 0, 7, 0, 0
63, 26, 165, 0, 0, 1, 8, 0, 0
64, 26, 165, 0, 0, 1, 8, 0, 0
