Space Data
QuorumThresh = 10
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 39, 161, 0, 0, 0, 0, 0, 0
4, 39, 161, 0, 0, 0, 0, 0, 0
5, 39, 161, 0, 0, 0, 0, 0, 0
6, 39, 161, 0, 0, 0, 0, 0, 0
7, 39, 161, 0, 0, 0, 0, 0, 0
8, 39, 161, 0, 0, 0, 0, 0, 0
9, 39, 161, 0, 0, 0, 0, 0, 0
10, 39, 161, 0, 0, 0, 0, 0, 0
11, 39, 161, 0, 0, 0, 0, 0, 0
12, 39, 161, 0, 0, 0, 0, 0, 0
13, 39, 161, 0, 0, 0, 0, 0, 0
14, 39, 161, 0, 0, 0, 0, 0, 0
15, 38, 161, 0, 0, 1, 0, 0, 0
16, 38, 161, 0, 0, 1, 0, 0, 0
17, 38, 161, 0, 0, 1, 0, 0, 0
18, 38, 161, 0, 0, 1, 0, 0, 0
19, 38, 161, 0, 0, 1, 0, 0, 0
20, 37, 161, 0, 0, 1, 1, 0, 0
21, 37, 161, 0, 0, 1, 1, 0, 0
22, 37, 161, 0, 0, 1, 1, 0, 0
23, 37, 161, 0, 0, 1, 1, 0, 0
24, 37, 161, 0, 0, 1, 1, 0, 0
25, 37, 161, 0, 0, 1, 1, 0, 0
26, 37, 161, 0, 0, 1, 1, 0, 0
27, 37, 161, 0, 0, 1, 1, 0, 0
28, 37, 161, 0, 0, 1, 1, 0, 0
29, 37, 161, 0, 0, 1, 1, 0, 0
30, 37, 161, 0, 0, 1, 1, 0, 0
31, 37, 161, 0, 0, 1, 1, 0, 0
32, 37, 161, 0, 0, 1, 1, 0, 0
33, 37, 161, 0, 0, 1, 1, 0, 0
34, 37, 161, 0, 0, 1, 1, 0, 0
35, 37, 161, 0, 0, 1, 1, 0, 0
36, 37, 161, 0, 0, 1, 1, 0, 0
37, 37, 161, 0, 0, 1, 1, 0, 0
38, 37, 161, 0, 0, 1, 1, 0, 0
39, 37, 161, 0, 0, 1, 1, 0, 0
40, 37, 161, 0, 0, 1, 1, 0, 0
41, 37, 161, 0, 0, 1, 1, 0, 0
42, 37, 161, 0, 0, 1, 1, 0, 0
43, 37, 161, 0, 0, 1, 1, 0, 0
44, 37, 161, 0, 0, 1, 1, 0, 0
45, 36, 161, 0, 0, 1, 2, 0, 0
46, 36, 161, 0, 0, 1, 2, 0, 0
47, 36, 161, 0, 0, 1, 2, 0, 0
48, 36, 161, 0, 0, 1, 2, 0, 0
49, 36, 161, 0, 0, 1, 2, 0, 0
50, 36, 161, 0, 0, 1, 2, 0, 0
51, 36, 161, 0, 0, 1, 2, 0, 0
52, 36, 161, 0, 0, 1, 2, 0, 0
53, 36, 161, 0, 0, 1, 2, 0, 0
54, 36, 161, 0, 0, 1, 2, 0, 0
55, 36, 161, 0, 0, 1, 2, 0, 0
56, 36, 161, 0, 0, 1, 2, 0, 0
57, 36, 161, 0, 0, 1, 2, 0, 0
58, 35, 161, 0, 0, 1, 3, 0, 0
59, 35, 161, 0, 0, 1, 3, 0, 0
60, 35, 161, 0, 0, 1, 3, 0, 0
61, 35, 161, 0, 0, 1, 3, 0, 0
62, 35, 161, 0, 0, 1, 3, 0, 0
63, 35, 161, 0, 0, 1, 3, 0, 0
64, 34, 161, 0, 0, 1, 4, 0, 0
