Space Data
QuorumThresh = 1
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 49, 151, 0, 0, 0, 0, 0, 0
4, 49, 151, 0, 0, 0, 0, 0, 0
5, 49, 151, 0, 0, 0, 0, 0, 0
6, 49, 151, 0, 0, 0, 0, 0, 0
7, 49, 151, 0, 0, 0, 0, 0, 0
8, 49, 151, 0, 0, 0, 0, 0, 0
9, 49, 151, 0, 0, 0, 0, 0, 0
10, 49, 151, 0, 0, 0, 0, 0, 0
11, 49, 151, 0, 0, 0, 0, 0, 0
12, 49, 151, 0, 0, 0, 0, 0, 0
13, 49, 151, 0, 0, 0, 0, 0, 0
14, 49, 151, 0, 0, 0, 0, 0, 0
15, 49, 151, 0, 0, 0, 0, 0, 0
16, 49, 151, 0, 0, 0, 0, 0, 0
17, 48, 151, 0, 0, 1, 0, 0, 0
18, 48, 151, 0, 0, 1, 0, 0, 0
19, 48, 151, 0, 0, 1, 0, 0, 0
20, 48, 151, 0, 0, 1, 0, 0, 0
21, 48, 151, 0, 0, 1, 0, 0, 0
22, 48, 151, 0, 0, 1, 0, 0, 0
23, 47, 151, 0, 0, 1, 1, 0, 0
24, 47, 151, 0, 0, 1, 1, 0, 0
25, 46, 151, 0, 0, 2, 1, 0, 0
26, 46, 151, 0, 0, 2, 1, 0, 0
27, 46, 151, 0, 0, 2, 1, 0, 0
28, 46, 151, 0, 0, 2, 1, 0, 0
29, 46, 151, 0, 0, 2, 1, 0, 0
30, 46, 151, 0, 0, 2, 1, 0, 0
31, 44, 151, 0, 0, 2, 3, 0, 0
32, 44, 151, 0, 0, 2, 3, 0, 0
33, 44, 151, 0, 0, 2, 3, 0, 0
34, 44, 151, 0, 0, 2, 3, 0, 0
35, 44, 151, 0, 0, 2, 3, 0, 0
36, 44, 151, 0, 0, 2, 3, 0, 0
37, 43, 151, 0, 0, 3, 3, 0, 0
38, 43, 151, 0, 0, 3, 3, 0, 0
39, 43, 151, 0, 0, 3, 3, 0, 0
40, 43, 151, 0, 0, 3, 3, 0, 0
41, 43, 151, 0, 0, 3, 3, 0, 0
42, 43, 151, 0, 0, 3, 3, 0, 0
43, 43, 151, 0, 0, 3, 3, 0, 0
44, 43, 151, 0, 0, 3, 3, 0, 0
45, 42, 151, 0, 0, 4, 3, 0, 0
46, 42, 151, 0, 0, 4, 3, 0, 0
47, 42, 151, 0, 0, 4, 3, 0, 0
48, 42, 151, 0, 0, 4, 3, 0, 0
49, 42, 151, 0, 0, 4, 3, 0, 0
50, 42, 151, 0, 0, 4, 3, 0, 0
51, 42, 151, 0, 0, 4, 3, 0, 0
52, 41, 151, 0, 0, 5, 3, 0, 0
53, 41, 151, 0, 0, 5, 3, 0, 0
54, 41, 151, 0, 0, 5, 3, 0, 0
55, 40, 151, 0, 0, 6, 3, 0, 0
56, 40, 151, 0, 0, 6, 3, 0, 0
57, 40, 151, 0, 0, 6, 3, 0, 0
58, 40, 151, 0, 0, 6, 3, 0, 0
59, 39, 151, 0, 0, 7, 3, 0, 0
60, 39, 151, 0, 0, 7, 3, 0, 0
61, 39, 151, 0, 0, 7, 3, 0, 0
62, 39, 151, 0, 0, 7, 3, 0, 0
63, 39, 151, 0, 0, 7, 3, 0, 0
64, 39, 151, 0, 0, 7, 3, 0, 0
