Space Data
QuorumThresh = 1
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 48, 152, 0, 0, 0, 0, 0, 0
3, 48, 152, 0, 0, 0, 0, 0, 0
4, 48, 152, 0, 0, 0, 0, 0, 0
5, 48, 152, 0, 0, 0, 0, 0, 0
6, 48, 152, 0, 0, 0, 0, 0, 0
7, 48, 152, 0, 0, 0, 0, 0, 0
8, 48, 152, 0, 0, 0, 0, 0, 0
9, 48, 152, 0, 0, 0, 0, 0, 0
10, 48, 152, 0, 0, 0, 0, 0, 0
11, 48, 152, 0, 0, 0, 0, 0, 0
12, 48, 152, 0, 0, 0, 0, 0, 0
13, 48, 152, 0, 0, 0, 0, 0, 0
14, 48, 152, 0, 0, 0, 0, 0, 0
15, 47, 152, 0, 0, 1, 0, 0, 0
16, 47, 152, 0, 0, 1, 0, 0, 0
17, 47, 152, 0, 0, 1, 0, 0, 0
18, 47, 152, 0, 0, 1, 0, 0, 0
19, 47, 152, 0, 0, 1, 0, 0, 0
20, 47, 152, 0, 0, 1, 0, 0, 0
21, 46, 152, 0, 0, 1, 1, 0, 0
22, 46, 152, 0, 0, 1, 1, 0, 0
23, 45, 152, 0, 0, 2, 1, 0, 0
24, 45, 152, 0, 0, 2, 1, 0, 0
25, 45, 152, 0, 0, 2, 1, 0, 0
26, 45, 152, 0, 0, 2, 1, 0, 0
27, 45, 152, 0, 0, 2, 1, 0, 0
28, 45, 152, 0, 0, 2, 1, 0, 0
29, 45, 152, 0, 0, 2, 1, 0, 0
30, 45, 152, 0, 0, 2, 1, 0, 0
31, 45, 152, 0, 0, 2, 1, 0, 0
32, 45, 152, 0, 0, 2, 1, 0, 0
33, 45, 152, 0, 0, 2, 1, 0, 0
34, 44, 152, 0, 0, 3, 1, 0, 0
35, 44, 152, 0, 0, 3, 1, 0, 0
36, 44, 152, 0, 0, 3, 1, 0, 0
37, 44, 152, 0, 0, 3, 1, 0, 0
38, 43, 152, 0, 0, 4, 1, 0, 0
39, 43, 152, 0, 0, 4, 1, 0, 0
40, 43, 152, 0, 0, 4, 1, 0, 0
41, 43, 152, 0, 0, 4, 1, 0, 0
42, 43, 152, 0, 0, 4, 1, 0, 0
43, 43, 152, 0, 0, 4, 1, 0, 0
44, 42, 152, 0, 0, 5, 1, 0, 0
45, 42, 152, 0, 0, 5, 1, 0, 0
46, 42, 152, 0, 0, 5, 1, 0, 0
47, 42, 152, 0, 0, 5, 1, 0, 0
48, 41, 152, 0, 0, 5, 2, 0, 0
49, 41, 152, 0, 0, 5, 2, 0, 0
50, 41, 152, 0, 0, 5, 2, 0, 0
51, 41, 152, 0, 0, 5, 2, 0, 0
52, 41, 152, 0, 0, 5, 2, 0, 0
53, 40, 152, 0, 0, 5, 3, 0, 0
54, 40, 152, 0, 0, 5, 3, 0, 0
55, 40, 152, 0, 0, 5, 3, 0, 0
56, 40, 152, 0, 0, 5, 3, 0, 0
57, 40, 152, 0, 0, 5, 3, 0, 0
58, 39, 152, 0, 0, 5, 4, 0, 0
59, 39, 152, 0, 0, 5, 4, 0, 0
60, 39, 152, 0, 0, 5, 4, 0, 0
61, 39, 152, 0, 0, 5, 4, 0, 0
62, 38, 152, 0, 0, 6, 4, 0, 0
63, 38, 152, 0, 0, 6, 4, 0, 0
64, 37, 152, 0, 0, 7, 4, 0, 0
