Space Data
QuorumThresh = 1
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 48, 152, 0, 0, 0, 0, 0, 0
4, 48, 152, 0, 0, 0, 0, 0, 0
5, 48, 152, 0, 0, 0, 0, 0, 0
6, 48, 152, 0, 0, 0, 0, 0, 0
7, 48, 152, 0, 0, 0, 0, 0, 0
8, 48, 152, 0, 0, 0, 0, 0, 0
9, 48, 152, 0, 0, 0, 0, 0, 0
10, 48, 152, 0, 0, 0, 0, 0, 0
11, 48, 152, 0, 0, 0, 0, 0, 0
12, 48, 152, 0, 0, 0, 0, 0, 0
13, 48, 152, 0, 0, 0, 0, 0, 0
14, 48, 152, 0, 0, 0, 0, 0, 0
15, 48, 152, 0, 0, 0, 0, 0, 0
16, 48, 152, 0, 0, 0, 0, 0, 0
17, 48, 152, 0, 0, 0, 0, 0, 0
18, 48, 152, 0, 0, 0, 0, 0, 0
19, 48, 152, 0, 0, 0, 0, 0, 0
20, 48, 152, 0, 0, 0, 0, 0, 0
21, 48, 152, 0, 0, 0, 0, 0, 0
22, 48, 152, 0, 0, 0, 0, 0, 0
23, 48, 152, 0, 0, 0, 0, 0, 0
24, 48, 152, 0, 0, 0, 0, 0, 0
25, 48, 152, 0, 0, 0, 0, 0, 0
26, 48, 152, 0, 0, 0, 0, 0, 0
27, 48, 152, 0, 0, 0, 0, 0, 0
28, 48, 152, 0, 0, 0, 0, 0, 0
29, 48, 152, 0, 0, 0, 0, 0, 0
30, 48, 152, 0, 0, 0, 0, 0, 0
31, 47, 152, 0, 0, 1, 0, 0, 0
32, 47, 152, 0, 0, 1, 0, 0, 0
33, 47, 152, 0, 0, 1, 0, 0, 0
34, 47, 152, 0, 0, 1, 0, 0, 0
35, 47, 152, 0, 0, 1, 0, 0, 0
36, 47, 152, 0, 0, 1, 0, 0, 0
37, 47, 152, 0, 0, 1, 0, 0, 0
38, 47, 152, 0, 0, 1, 0, 0, 0
39, 47, 152, 0, 0, 1, 0, 0, 0
40, 47, 152, 0, 0, 1, 0, 0, 0
41, 46, 152, 0, 0, 1, 1, 0, 0
42, 46, 152, 0, 0, 1, 1, 0, 0
43, 46, 152, 0, 0, 1, 1, 0, 0
44, 46, 152, 0, 0, 1, 1, 0, 0
45, 45, 152, 0, 0, 1, 2, 0, 0
46, 45, 152, 0, 0, 1, 2, 0, 0
47, 44, 152, 0, 0, 1, 3, 0, 0
48, 44, 152, 0, 0, 1, 3, 0, 0
49, 44, 152, 0, 0, 1, 3, 0, 0
50, 42, 152, 0, 0, 2, 4, 0, 0
51, 41, 152, 0, 0, 2, 5, 0, 0
52, 41, 152, 0, 0, 2, 5, 0, 0
53, 41, 152, 0, 0, 2, 5, 0, 0
54, 41, 152, 0, 0, 2, 5, 0, 0
55, 41, 152, 0, 0, 2, 5, 0, 0
56, 40, 152, 0, 0, 2, 6, 0, 0
57, 40, 152, 0, 0, 2, 6, 0, 0
58, 40, 152, 0, 0, 2, 6, 0, 0
59, 40, 152, 0, 0, 2, 6, 0, 0
60, 40, 152, 0, 0, 2, 6, 0, 0
61, 40, 152, 0, 0, 2, 6, 0, 0
62, 40, 152, 0, 0, 2, 6, 0, 0
63, 39, 152, 0, 0, 2, 7, 0, 0
64, 39, 152, 0, 0, 2, 7, 0, 0
