Space Data
QuorumThresh = 1
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 48, 152, 0, 0, 0, 0, 0, 0
3, 48, 152, 0, 0, 0, 0, 0, 0
4, 48, 152, 0, 0, 0, 0, 0, 0
5, 48, 152, 0, 0, 0, 0, 0, 0
6, 48, 152, 0, 0, 0, 0, 0, 0
7, 48, 152, 0, 0, 0, 0, 0, 0
8, 48, 152, 0, 0, 0, 0, 0, 0
9, 48, 152, 0, 0, 0, 0, 0, 0
10, 48, 152, 0, 0, 0, 0, 0, 0
11, 48, 152, 0, 0, 0, 0, 0, 0
12, 48, 152, 0, 0, 0, 0, 0, 0
13, 48, 152, 0, 0, 0, 0, 0, 0
14, 48, 152, 0, 0, 0, 0, 0, 0
15, 48, 152, 0, 0, 0, 0, 0, 0
16, 47, 152, 0, 0, 0, 1, 0, 0
17, 47, 152, 0, 0, 0, 1, 0, 0
18, 47, 152, 0, 0, 0, 1, 0, 0
19, 47, 152, 0, 0, 0, 1, 0, 0
20, 47, 152, 0, 0, 0, 1, 0, 0
21, 47, 152, 0, 0, 0, 1, 0, 0
22, 47, 152, 0, 0, 0, 1, 0, 0
23, 47, 152, 0, 0, 0, 1, 0, 0
24, 47, 152, 0, 0, 0, 1, 0, 0
25, 47, 152, 0, 0, 0, 1, 0, 0
26, 47, 152, 0, 0, 0, 1, 0, 0
27, 47, 152, 0, 0, 0, 1, 0, 0
28, 47, 152, 0, 0, 0, 1, 0, 0
29, 47, 152, 0, 0, 0, 1, 0, 0
30, 47, 152, 0, 0, 0, 1, 0, 0
31, 47, 152, 0, 0, 0, 1, 0, 0
32, 47, 152, 0, 0, 0, 1, 0, 0
33, 47, 152, 0, 0, 0, 1, 0, 0
34, 47, 152, 0, 0, 0, 1, 0, 0
35, 47, 152, 0, 0, 0, 1, 0, 0
36, 47, 152, 0, 0, 0, 1, 0, 0
37, 47, 152, 0, 0, 0, 1, 0, 0
38, 46, 152, 0, 0, 1, 1, 0, 0
39, 46, 152, 0, 0, 1, 1, 0, 0
40, 46, 152, 0, 0, 1, 1, 0, 0
41, 45, 152, 0, 0, 1, 2, 0, 0
42, 44, 152, 0, 0, 2, 2, 0, 0
43, 44, 152, 0, 0, 2, 2, 0, 0
44, 44, 152, 0, 0, 2, 2, 0, 0
45, 44, 152, 0, 0, 2, 2, 0, 0
46, 44, 152, 0, 0, 2, 2, 0, 0
47, 44, 152, 0, 0, 2, 2, 0, 0
48, 44, 152, 0, 0, 2, 2, 0, 0
49, 44, 152, 0, 0, 2, 2, 0, 0
50, 43, 152, 0, 0, 2, 3, 0, 0
51, 43, 152, 0, 0, 2, 3, 0, 0
52, 43, 152, 0, 0, 2, 3, 0, 0
53, 43, 152, 0, 0, 2, 3, 0, 0
54, 43, 152, 0, 0, 2, 3, 0, 0
55, 43, 152, 0, 0, 2, 3, 0, 0
56, 42, 152, 0, 0, 3, 3, 0, 0
57, 42, 152, 0, 0, 3, 3, 0, 0
58, 42, 152, 0, 0, 3, 3, 0, 0
59, 42, 152, 0, 0, 3, 3, 0, 0
60, 42, 152, 0, 0, 3, 3, 0, 0
61, 42, 152, 0, 0, 3, 3, 0, 0
62, 42, 152, 0, 0, 3, 3, 0, 0
63, 42, 152, 0, 0, 3, 3, 0, 0
64, 42, 152, 0, 0, 3, 3, 0, 0
