Space Data
QuorumThresh = 12
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 38, 162, 0, 0, 0, 0, 0, 0
4, 38, 162, 0, 0, 0, 0, 0, 0
5, 38, 162, 0, 0, 0, 0, 0, 0
6, 38, 162, 0, 0, 0, 0, 0, 0
7, 38, 162, 0, 0, 0, 0, 0, 0
8, 38, 162, 0, 0, 0, 0, 0, 0
9, 38, 162, 0, 0, 0, 0, 0, 0
10, 38, 162, 0, 0, 0, 0, 0, 0
11, 38, 162, 0, 0, 0, 0, 0, 0
12, 38, 162, 0, 0, 0, 0, 0, 0
13, 38, 162, 0, 0, 0, 0, 0, 0
14, 38, 162, 0, 0, 0, 0, 0, 0
15, 38, 162, 0, 0, 0, 0, 0, 0
16, 38, 162, 0, 0, 0, 0, 0, 0
17, 38, 162, 0, 0, 0, 0, 0, 0
18, 38, 162, 0, 0, 0, 0, 0, 0
19, 38, 162, 0, 0, 0, 0, 0, 0
20, 38, 162, 0, 0, 0, 0, 0, 0
21, 38, 162, 0, 0, 0, 0, 0, 0
22, 37, 162, 0, 0, 1, 0, 0, 0
23, 36, 162, 0, 0, 1, 1, 0, 0
24, 36, 162, 0, 0, 1, 1, 0, 0
25, 36, 162, 0, 0, 1, 1, 0, 0
26, 36, 162, 0, 0, 1, 1, 0, 0
27, 36, 162, 0, 0, 1, 1, 0, 0
28, 35, 162, 0, 0, 2, 1, 0, 0
29, 35, 162, 0, 0, 2, 1, 0, 0
30, 34, 162, 0, 0, 2, 2, 0, 0
31, 34, 162, 0, 0, 2, 2, 0, 0
32, 34, 162, 0, 0, 2, 2, 0, 0
33, 34, 162, 0, 0, 2, 2, 0, 0
34, 34, 162, 0, 0, 2, 2, 0, 0
35, 34, 162, 0, 0, 2, 2, 0, 0
36, 34, 162, 0, 0, 2, 2, 0, 0
37, 34, 162, 0, 0, 2, 2, 0, 0
38, 34, 162, 0, 0, 2, 2, 0, 0
39, 34, 162, 0, 0, 2, 2, 0, 0
40, 34, 162, 0, 0, 2, 2, 0, 0
41, 34, 162, 0, 0, 2, 2, 0, 0
42, 34, 162, 0, 0, 2, 2, 0, 0
43, 33, 162, 0, 0, 3, 2, 0, 0
44, 33, 162, 0, 0, 3, 2, 0, 0
45, 33, 162, 0, 0, 3, 2, 0, 0
46, 33, 162, 0, 0, 3, 2, 0, 0
47, 33, 162, 0, 0, 3, 2, 0, 0
48, 33, 162, 0, 0, 3, 2, 0, 0
49, 31, 162, 0, 0, 3, 4, 0, 0
50, 31, 162, 0, 0, 3, 4, 0, 0
51, 30, 162, 0, 0, 4, 4, 0, 0
52, 30, 162, 0, 0, 4, 4, 0, 0
53, 29, 162, 0, 0, 4, 5, 0, 0
54, 29, 162, 0, 0, 4, 5, 0, 0
55, 29, 162, 0, 0, 4, 5, 0, 0
56, 28, 162, 0, 0, 5, 5, 0, 0
57, 28, 162, 0, 0, 5, 5, 0, 0
58, 28, 162, 0, 0, 5, 5, 0, 0
59, 27, 162, 0, 0, 5, 6, 0, 0
60, 27, 162, 0, 0, 5, 6, 0, 0
61, 27, 162, 0, 0, 5, 6, 0, 0
62, 27, 162, 0, 0, 5, 6, 0, 0
63, 27, 162, 0, 0, 5, 6, 0, 0
64, 27, 162, 0, 0, 5, 6, 0, 0
